//Vanilla
Invert X|Spiegel X
OpColorPicker_NonMouseSliders|Met de joystick, beweeg omhoog of omlaag om te kiezen, naar links of rechts om aan te passen. Druk op BEVESTIGEN om aan te brengen
OpScrollBox_MouseTutoSlidebar|Gebruik het scrollwiel of scrollbar om meer te zien
ConfigMenuTab_BackButton_Desc|Terug naar het hoofdmenu
ConfigMenuTab_SaveButton_Desc|Sla de huidige mod's configuraties op en ga terug
MenuModList_ModButton_Display|Laat <Mod> zien
MenuModList_ListButton_SwapUp|Klik om deze mod later te laten dan de mods erboven
MenuModList_ListButton_SwapDw|Klik om deze mod eerder te laden dan de mods eronder
MenuModList_ListButton_Expand|Laat thumbnails zien in de modlijst
No stealing Hunter back-spear|Jager rug-speer niet stelen
Scavenger kill squad leniency|Schooier moordploeg gratie periode
Hide rain timer in safe areas|Verberg regen timer in veilige plekken
No randomized cycle durations|Geen willekeurige cyclus duur
Rivulet Rain Timer Multiplier|Waterrat Regen Timer Vermenigvuldiger
Unlock the Outer Expanse gate|Ontgrendel de Wildernis poort
Steam manager not initialized|Steam manager niet geïnitialiseerd
This one again, <PlayerName>?|Deze alweer, <PlayerName>?
Complete the Hunter passage|Compleet de Jager doorgang
Complete the Outlaw passage|Compleet de Vogelvrije doorgang
Complete the Friend passage|Compleet de Vriend doorgang
Complete the Martyr passage|Compleet de Lijder doorgang
Complete the Mother passage|Compleet de Moeder doorgang
objecttype-FirecrackerPlant|Vuurkruid
creaturetype-SmallCentipede|Kleine Duizendpoot
Four is enough to hibernate|Vier is genoeg om te slapen
Player <X> will use gamepad|Speler <X> gebruikt de gamepad
Player vs player deathmatch|Speler vs speler deathmatch
Play each level three times|Speel elk level drie keer
switch_fast_travel_map_help|Druk op de R Knop om de schuilplaats te selecteren waarvan je wilt verdergaan
OpComboBox_NonMouseOpenTuto|Druk op BEVESTIGEN om de lijst te openen
OpKeyBinder_MouseSelectTuto|Klik om de knop binding te veranderen
OpSlider_NonMouseAdjustTuto|Gebruik de joystick om aan te passen, druk op BEVESTIGEN om aan te brengen
OpColorPicker_MouseTypeTuto|Typ de hex code in met het toetsenbord voor de gewenste kleur
OpSimpleButton_NonMouseTuto|Druk op de BEVESTIGEN knop om te activeren
MenuModStat_ConsoleExplain0|Dit menu wordt gebruikt om Remix content te activeren en te configureren voor nieuwe manieren om Rain World te spelen.
MenuModList_ListButton_Stat|Laat de statistieken zien van jouw geïnstalleerde mods
MenuModList_ListSlider_Desc|Houd je muis knop ingedrukt op de cirkel en sleep het omhoog of omlaag om door de modlijst te scrollen
MenuModList_SearchBox_Empty|Typ om te zoeken...
MenuModList_SearchBox_Query|Zoek query: <Query>
Connector_ResetConfig_Alert|Herstelde de configuratie van <ModName> naar de standaard configuratie
Arena creatures cannot flee|Arena wezens kunnen niet vluchten
Monk extra light assistance|Monnik extra licht hulp
Zero-gravity spear throwing|Gewichtloos speer gooien
Unlock all arena characters|Ontgrendel alle arena personages
Oh, it's you, <PlayerName>.|Oh, jij bent het, <PlayerName>.
Please... don't do... that.|Alsjeblieft... doe dat... niet.
What is that, <PlayerName>?|Wat is dat, <PlayerName>?
Want it back, <PlayerName>?|Wil je het terug, <PlayerName>?
Why should I tolerate this?|Waarom zou ik dit tolereren?
As I tried to say to you...|Zoals ik je probeerde te zeggen...
Complete the Monk passage|Compleet de Monnik doorgang
Find a way to communicate|Vind een manier om te communiceren
creaturetype-YellowLizard|Gele Hagedis
creaturetype-LanternMouse|Lantaarn Muis
creaturetype-RedCentipede|Rode Duizendpoot
One need not travel alone|Je hoeft niet alleen te reizen
You are hungry, find food|Je hebt honger, vind eten
Switch to fullscreen mode|Wissel naar volledig scherm modus
OpDragger_NonMouseUseTuto|Gebruik de joystick om aan te passen, druk op BEVESTIGEN om in te stellen
OpKeyBinder_MouseBindTuto|Druk op een knop om het te verbinden (ESC om te ontbinden)
OpSlider_NonMouseGrabTuto|Druk op BEVESTIGEN om te interacteren
OpHoldButton_NonMouseTuto|Houd de BEVESTIGEN knop ingedrukt om te activeren
MenuModStat_ModsInterface|Ingeschakelde mods met een Remix gebruikers interface: <Number1> (Configurable: <Number2>)
Show underwater shortcuts|Laat onderwater sluipwegen zien
Centipede pipe protection|Duizendpoot pijp bescherming
Threat music visual pulse|Gevaren muziek visuele puls
Disable precycle flooding|Schakel pre-cyclus vloeden uit
Unlock all safari regions|Ontgrendel alle safari gebieden
...thank you... better...|...dank je... beter...
Tried to say... to you...|Probeerde jou... te zeggen...
Complete the Saint passage|Compleet de Heilige doorgang
Complete the Nomad passage|Compleet de Nomade doorgang
objecttype-SLOracleSwarmer|Zenuwcel
objecttype-SSOracleSwarmer|Zenuwcel
objecttype-OverseerCarcass|Overzichter's Oog
creaturetype-DaddyLongLegs|Vader Hooiwagen
creaturetype-TentaclePlant|Monsterkelp
creaturetype-SpitterSpider|Spuugspin
creaturetype-BigNeedleWorm|Noedelvlieg
Briefly tap DOWN to crouch|Druk kort op OMLAAG om te bukken
Double tap to switch hands|Druk twee keer om van handen te wisselen
Player <X> is in the game!|Speler <X> is in het spel!
Remove level from playlist|Verwijder level van de speellijst
Resume unfinished playlist|Ga verder met de onvoltooide speellijst
Play each level four times|Speel elk level vier keer
Play each level five times|Speel elk level vijf keer
mod_menu_fail_requirements|Deze mod kan niet gebruikt worden door problemen met de benodigdheden! Controleer dat de volgende mods geïnstalleerd zijn, en niet hun eigen problemen hebben:
OpComboBox_MouseSearchTuto|Typ sleutelwoorden in de box om te zoeken
OpComboBox_NonMouseUseTuto|Gebruik de joystick om te scrollen, druk op BEVESTIGEN om te selecteren
OpDragger_NonMouseGrabTuto|Druk op BEVESTIGEN om te interacteren
OpRadioButton_NonMouseTuto|Druk op BEVESTIGEN om deze optie te kiezen
OpColorPicker_MouseRGBTuto|Selecteer een kleur met de rood/groen/blauw sliders
OpColorPicker_MouseHSLTuto|Selecteer een kleur uit het vierkante kleurenkiezer en licht slider
OpColorPicker_MousePLTTuto|Selecteer een kleur uit het palet
MenuModList_SearchBox_Desc|Druk en typ om mods te zoeken
Connector_SaveConfig_Alert|Huidige configuratie van <ModName> is opgeslagen
OIError_Message_Initialize|Er was een probleem bij het initialiseren van het OptionInterface.
Vulture grub arena variety|Gierenaas arena variatie
Lossless scavenger corpses|Verliesloze schooier karkassen
Continue to the next cycle|Verdergaan naar de volgende cyclus
Or did I say that already?|Of heb ik dat al gezegd?
Hello again, <PlayerName>!|Hallo alweer, <PlayerName>!
Hello again, <PlayerName>.|Hallo alweer, <PlayerName>.
I will accept your gift...|Ik accepteer je geschenk...
Complete the Dragon Slayer passage|Compleet de Drakendoder doorgang
Something lurks in the darkness...|Er hangt iets rond in de duisternis...
Complete the game as The Artificer|Voltooi het spel als De Schepper
Five Pebbles (General Systems Bus)|Vijf Kiezels (Algemene Systemen Hoofdlijn)
Pick up / Eat button interactions:|Oppakken / Eten knop interacties:
Game Over - Press SPACE to restart|Game Over - Druk op SPATIE om te herstarten
switch_controls_singlejoyconl_jump|Omlaag Knop
switch_controls_singlejoyconr_jump|A Knop
ps4_save_options_failed_free_space|Fout opgetreden bij het opslaan van opties data. Niet genoeg vrije ruimte. Opnieuw proberen?
ConfigContainer_AlertPasteCosmetic|Plakte<Text> van klembord
MenuModList_ModButton_Enable_Mouse|Schakel <Mod> in
Stronger bottomless pit indicators|Beter zichtbare bodemloos gat indicatoren
Monk-style gates for all campaigns|Monnik-stijl poorten voor alle campagnes
Are you sure you want to continue?|Weet je zeker dat je wilt verdergaan?
That's all. You'll have to go now.|Dat is alles. Je moet nu gaan.
You again? I have nothing for you.|Jij alweer? Ik heb niets voor jou.
I wonder what it is that you want?|Ik vraag me af wat het is dat je wilt?
I wish you would stop coming here.|Ik wou dat je ermee stopte om hier te komen.
Oh... Of course I will take a look|Oh... Natuurlijk neem ik een kijkje
Something lurks amongst the clouds...|Er hangt iets rond tussen de wolken...
Take the longer path to enlightenment|Neem de langere weg naar verlichting
A significant gain, but at what cost?|Een aanzienlijke winst, maar met wat voor prijs?
Game Over - Press + Button to restart|Game Over - Druk op de + Knop om te herstarten
Game Over - Press - Button to restart|Game Over - Druk op de - Knop om te herstarten
switch_controls_singlejoycon_hold_map|Houd de SR Knop ingedrukt
Hold and drag to adjust score awarded|Houd ingedrukt en sleep om de gekregen score aan te passen
JUMP/THROW buttons - Switch layers_2a|kruis knop/cirkel knop - Wissel van lagen<LINE>vierkante knop - Selecteer schuilplaats
JUMP/THROW buttons - Switch layers_3a|B Knop/A Knop - Wissel van lagen<LINE>Y Knop - Selecteer schuilplaats
JUMP/THROW buttons - Switch layers_4a|Omlaag Knop/Rechter Knop - Wissel van lagen<LINE>Linker Knop - Selecteer schuilplaats
JUMP/THROW buttons - Switch layers_5a|A Knop/X Knop - Wissel van lagen<LINE>B Knop - Selecteer schuilplaats
ConfigContainer_AlertPasteNoncosmetic|Plakte <Text> van klembord naar <ObjectName>
MenuModList_ModButton_Enable_NonMouse|Druk op BEVESTIGEN om deze mod in te schakelen, houd BEVESTIGEN ingedrukt en gebruik de joystick om de laadvolgorde te wisselen
Press CONTINUE to view and accept it.|Druk op VERDERGAAN om het te bekijken en accepteren.
Thank you. I do wonder what you want.|Dank je. Ik vraag me af wat je wilt.
Another thing you want me to look at?|Nog iets waar me wilt naar laten kijken?
Would you like me to read this pearl?|Wil je dat ik deze parel lees?
And now you're taking it, apparently.|En nu neem je het, schijnbaar.
Something lurks at the highest reaches of the world...|Er hangt iets rond in de hoogste uithoeken van de wereld...
Assign player <X> to the default XBox controller setup|Wijs speler <X> de standaard XBox controller setup toe
Select which levels to play<LINE>in the level selector|Selecteer welke levels je wilt spelen<LINE>in de level selecteerder
Shows a visual pulse on screen when threats are nearby|Laat een visuele puls op het scherm zien wanneer er gevaar in de buurt is
All lizard breeds have unique sound effects and voices|Alle hagedissoorten hebben unieke geluidseffecten en stemmen
(Normally requires completing Gourmand's food tracker)|(Benodigd normaal gesproken dat De Bourgondiër's voedsel tracker compleet is)
Mod's thumbnail image should have a 16:9 aspect ratio.|Mod's thumbnail afbeelding moet een 16:9 aspect ratio hebben.
If you eat it or leave with it, I will die. I beg you.|Als je het eet of ermee weggaat, ga ik dood. Alsjeblieft.
Oh, I have already read this one to you, <PlayerName>.|Oh, deze heb ik al voor je gelezen, <PlayerName>.
Something lurks where the land fissures...|Er hangt iets rond daar waar het land openscheurt...
This place is safe. Stay here to hibernate|Deze plek is veilig. Blijf hier om te slapen
There are also other significant drawbacks|Er zijn ook andere aanzienlijke nadelen
When only one player left, rain approaches|Als er één speler over is, komt de regen eraan
I... won't speak to you... if you do that.|Ik... zal niet meer met je spreken... als je dat doet.
Ah... <PlayerName>, a neuron from Pebbles?|Ah... <PlayerName>, een zenuwcel van Kiezels?
Take what isn't yours|Neem datgene wat niet van jou is
Generating map images|Kaart afbeeldingen genereren
objecttype-SporePlant|Bijenkorf
objecttype-NSHSwarmer|Groene Zenuwcel
creaturetype-SeaLeech|Zee-bloedzuiger
creaturetype-TubeWorm|Grijpworm
creaturetype-Overseer|Opzichter
Path of the carnivore|Pad van de vleeseter
The Hunter-linebreaks|De Jager
The Outlaw-linebreaks|De Vogelvrije
The Friend-linebreaks|De Vriend
Sound effects volume:|Geluidseffecten volume:
XBox Controller Setup|XBox Controller Setup
switch_controls_pause|+ Knop
switch_controls_throw|A Knop
Add level to playlist|Voeg level toe aan speellijst
switch_update_players|Spelers updaten
Play each level twice|Speel elk level twee keer
mod_menu_reapply_mods|Sommige ingeschakelde mods zijn geüpdatet sinds het spel voor het laatst gestart is. Druk op verdergaan om de updates aan te brengen.
OpUpdown_NonMouseGrab|Druk op BEVESTIGEN om te interacteren
OpScrollBox_MouseTuto|Gebruik het scroll wiel om meer te zien
ModdingMenu_PckpTuto0|Clipboard knop interacties:
ModdingMenu_PckpTuto1|Selecteer eerst een configuraabel element met de BEVESTIGEN knop
ModdingMenu_PckpTuto2|Houd de CLIPBOARD Knop ingedrukt en druk op de BEVESTIGEN knop om naar het clipboard te kopiëren
ModdingMenu_PckpTuto3|Houd de CLIPBOARD knop ingedrukt en druk op de ANNULEREN knop om van het clipboard te plakken
MenuModList_DummyDesc|De basis versie van Rain World
OIError_GeneralAdvice|Dit probleem kan opgelost worden door de nieuwste versie van de mod te downloaden.
No swim boost penalty|Geen zwem boost penalty
Rain Timer Multiplier|Regen Timer Vermenigvuldiger
Tweaked deer behavior|Aangepast herten gedrag
Alternate grenade arc|Alternatieve granaat arc
Item stems in sandbox|Voorwerp stengels in de sandbox
Reduce screen shaking|Verminder het schudden van het scherm
Unlock all challenges|Ontgrendel alle uitdagingen
Gathering information|Informatie verzamelen
jollycoop-description|Lokaal co-op verhaal en andere spelmodussen met tot wel 4 spelers. De reis is beter met vrienden!
You had your chances.|Je hebt je kans gehad.
Oh, you want it back?|Oh, wil je het terug?
Follow the guide|Volg de gids
objecttype-Spear|Speer
creaturetype-Fly|Vleervlieg
Select save slot|Selecteer opslag slot
Movement Buttons|Bewegings Knoppen
Shuffling levels|Levels schudden
Playing in order|In volgorde spelen
rounds per level|rondes per level
Random creatures|Willekeurige wezens
Trophy Collector|Trofeeën Verzamelaar
Press ? to start|Druk op ? om te starten
mod_menu_restart|De aangebrachte mods vereisen dat het spel herstart wordt. Druk op verdergaan en start het spel opnieuw.
Applying Changes|Veranderingen aanbrengen
Vulture darkness|Gier duisternis
Vanilla exploits|Vanilla exploits
Aggressive Saint|Agressieve Heilige
Gameplay Assists|Gameplay Hulp
Generic failure.|Algemene fout.
remix_dlc_launch|Nieuwe DLC is gedetecteerd! Je geïnstalleerde DLC kan gevonden en ingeschakeld worden via het REMIX menu.
remix_dlc_locked|Aanvullende DLC moet gekocht worden voordat deze content kan worden ingeschakeld.
...yes... leave.|...ja... ga.
You... are back.|Je... bent terug.
Little tormentor|Kleine martelaar
Complete the game as The Survivor or as The Monk|Voltooi het spel als De Overlever of De Monnik
ConfigMenuTab_ModPercentageButton_MouseEnableAll|Klik om alle mods in te schakelen
MenuModList_ModButton_NonMouse_Configure_Console|Druk op BEVESTIGEN om te configureren, druk op LINKS om de schakelknop voor deze inhoud te bewegen
Access was denied. Do you own the game on Steam?|Toegang was afgewezen. Heb je het spel op Steam?
This one I've already read to you, <PlayerName>.|Deze heb ik al voor jou gelezen, <PlayerName>.
Complete the game as The Hunter|Voltooi het spel als De Jager
Your travels have taken you far|Je reizen hebben je ver genomen
You have left this world behind|Je hebt deze wereld achter je gelaten
ConfigMenuTab_ApplyButton_Label|MODS AANBRENGEN
ConfigMenuTab_RevertButton_Desc|Terug naar mod lijst
ConfigMenuTab_ResetButton_Label|CONFIG RESETTEN
MenuModList_ModButton_Configure|<Mod> Configureren
MenuModList_ListButton_ScrollUp|Druk en houd de muisknop ingedrukt om de modlijst omhoog te scrollen
MenuModList_ListButton_ScrollDw|Druk en houd de muisknop ingedrukt om de modlijst omlaag te scrollen
MenuModList_ListButton_Collapse|Verberg thumbnails in de modlijst
Connector_ChangeActiveTab_Alert|Wisselde de huidige actieve tab naar <TabName>
Connector_ChangeActiveMod_Alert|Wisselde de huidige mod naar <ModName>
Enable the wall pounce mechanic|Schakel het muur krachtsprongen mechaniek in
It's you, <PlayerName>!  Hello!|Jij bent het, <PlayerName>! Hallo!
You... Strange thing. Now this?|Jij... Vreemd ding. Nu dit?
Oh, what is that, <PlayerName>?|Oh, wat is dat, <PlayerName>?
You would like me to read this?|Je wilt dat ik dit lees?
Find the canonical ending to The Gourmand's campaign|Vind het ware einde van De Bourgondiër's campagne
Find a destination for The Hunter's starting payload|Vind een bestemming voor De Jager's start lading
ConfigMenuTab_ModPercentageButton_NonMouseDisableAll|Druk op BEVESTIGEN om alle mods uit te schakelen
Pause the rain timer while dialog is being displayed|Pauzeert de regen timer wanneer er dialoog op het scherm is
Discourages Snails from idling inside pipe entrances|Weerhoudt Slakken ervan om in pijpingangen stil te zitten
It is recommended to use this only as a last resort.|Het wordt aanbevolen om dit alleen als last resort te gebruiken.
I don't know what to say. Never come back, creature!|Ik weet niet wat ik moet zeggen. Kom nooit meer terug, wezen!
Little creature, why don't you stay calm and listen?|Klein wezen, waarom kalmeer je niet en luister je naar mij?
